Allocation Summary,,
,,
,OLD BUILDING,
,Total Flats,30
,Flat Size (sq.ft.),450
,Total Area (sq.ft.),13500
,,
,NEW BUILDING,
,Wing A – Floors,10
,Wing A – Flats/Floor,1
,Wing A – Total Flats,10
,Wing B – Floors,10
,Wing B – Flats/Floor,2
,Wing B – Total Flats,20
,Total New Flats,30
,,
,SPECIAL CONDITIONS,
,Owner A: Old Flats,3 & 5
,Owner A: New Floor,Wing B – Floor 1
,Owner A: New Flats,B-01-1  &  B-01-2
,Owner B: Old Flats,14 & 23
,Owner B: New Floor,Wing B – Floor 6
,Owner B: New Flats,B-06-1  &  B-06-2
,Individual Allocations,26 flats – randomly distributed
